pos,category,sub_category,abbrev,label,sub_label,field_length,min,min_numeric,max,max_numeric,units,scaling_factor,scaling_factor_numeric,missing,missing_numeric,description,dom,dom_parsed_json
NA,additional-data section,weather-occurrence-data,AX1-AX6,past weather observation,period quantity,2,24,24,24,24,hours,NA,NA,99,99,The quantity of time over which a PAST-WEATHER-OBSERVATION occurred.,A general domain comprised of the ASCII characters 0-9. 99 = Missing,"{""99"":""Missing""}"
NA,additional-data section,weather-occurrence-data,AX1-AX6,past weather observation,period quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported past weather period.,"A specific domain comprised of the characters in the ASCII character set. 4 = Passed gross limits check, data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present","{""4"":""Passed gross limits check, data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present""}"
NA,additional-data section,weather-occurrence-data,AY1-AY2,past weather observation,manual occurrence identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that signifies the reporting of past weather.,A specific domain comprised of the characters in the ASCII character set. AY1 - AY2 An indicator of up to 2 repeating fields of the following item: PAST-WEATHER-OBSERVATION manual atmospheric condition code PAST-WEATHER-OBSERVATION quality manual atmospheric condition code PAST-WEATHER-OBSERVATION period quantity PAST-WEATHER-OBSERVATION period quality code,"{""item"":""PAST-WEATHER-OBSERVATION manual atmospheric condition code PAST-WEATHER-OBSERVATION quality manual atmospheric condition code PAST-WEATHER-OBSERVATION period quantity PAST-WEATHER-OBSERVATION period quality code""}"
NA,additional-data section,weather-occurrence-data,AY1-AY2,past weather observation,manual atmospheric condition code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a specific type of past weather observed manually.,"A specific domain comprised of the characters in the ASCII character set. Domain Value ID: Domain Value Definition Text 0: Cloud covering 1/2 or less of the sky throughout the appropriate period 1: Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period 2: Cloud covering more than 1/2 of the sky throughout the appropriate period 3: Sandstorm, duststorm or blowing snow 4: Fog or ice fog or thick haze 5: Drizzle 6: Rain 7: Snow, or rain and snow mixed 8: Shower(s) 9: Thunderstorm(s) with or without precipitation 33","{""ID"":""Domain Value Definition Text"",""0"":""Cloud covering 1/2 or less of the sky throughout the appropriate period"",""1"":""Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period"",""2"":""Cloud covering more than 1/2 of the sky throughout the appropriate period"",""3"":""Sandstorm, duststorm or blowing snow"",""4"":""Fog or ice fog or thick haze"",""5"":""Drizzle"",""6"":""Rain"",""7"":""Snow, or rain and snow mixed"",""8"":""Shower(s)"",""9"":""Thunderstorm(s) with or without precipitation 33""}"
NA,additional-data section,weather-occurrence-data,AY1-AY2,past weather observation,quality manual atmospheric condition code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported past weather observation from a manual station.,A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Passed gross limits check if element is present,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Passed gross limits check if element is present""}"
NA,additional-data section,weather-occurrence-data,AY1-AY2,past weather observation,period quantity,2,01,1,24,24,hours,NA,NA,99,99,The quantity of time over which a PAST-WEATHER-OBSERVATION occurred.,A general domain comprised of the ASCII characters 0-9. 99 = Missing,"{""99"":""Missing""}"
NA,additional-data section,weather-occurrence-data,AY1-AY2,past weather observation,period quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported past weather period.,A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Passed gross limits check if element is present,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Passed gross limits check if element is present""}"
NA,additional-data section,weather-occurrence-data,AZ1-AZ2,past weather observation,automated occurrence identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that signifies the reporting of present weather.,A specific domain comprised of the characters in the ASCII character set. AZ1- AZ2 An indicator of the following item: (this may occur 0 - 2 times) PAST-WEATHER-OBSERVATION automated atmospheric condition code PAST-WEATHER-OBSERVATION quality automated atmospheric condition code PAST-WEATHER-OBSERVATION period quantity PAST-WEATHER-OBSERVATION period quality code,"{""item"":""(this may occur 0 - 2 times) PAST-WEATHER-OBSERVATION automated atmospheric condition code PAST-WEATHER-OBSERVATION quality automated atmospheric condition code PAST-WEATHER-OBSERVATION period quantity PAST-WEATHER-OBSERVATION period quality code""}"
NA,additional-data section,weather-occurrence-data,AZ1-AZ2,past weather observation,automated atmospheric condition code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a specific type of past weather reported by an automated device.,"A specific domain comprised of the characters in the ASCII character set. 0: No significant weather observed 1: Visibility reduced 2: Blowing phenomena, visibility reduced 3: Fog 4: Precipitation 5: Drizzle 6: Rain 7: Snow or ice pellets 8: Showers or intermittent precipitation 9: Thunderstorm","{""0"":""No significant weather observed"",""1"":""Visibility reduced"",""2"":""Blowing phenomena, visibility reduced"",""3"":""Fog"",""4"":""Precipitation"",""5"":""Drizzle"",""6"":""Rain"",""7"":""Snow or ice pellets"",""8"":""Showers or intermittent precipitation"",""9"":""Thunderstorm""}"
NA,additional-data section,weather-occurrence-data,AZ1-AZ2,past weather observation,quality automated atmospheric condition code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported past weather observation from an automated station.,A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 34 9 = Passed gross limits check if element is present,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous 34"",""9"":""Passed gross limits check if element is present""}"
NA,additional-data section,weather-occurrence-data,AZ1-AZ2,past weather observation,period quantity,2,01,1,24,24,hours,NA,NA,99,99,The quantity of time over which a PAST-WEATHER-OBSERVATION occurred.,A general domain comprised of the ASCII characters 0-9. 99 = Missing,"{""99"":""Missing""}"
NA,additional-data section,weather-occurrence-data,AZ1-AZ2,past weather observation,period quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported past weather period.,A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Passed gross limits check if element is presentClimate Reference Network Unique Data,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Passed gross limits check if element is presentClimate Reference Network Unique Data""}"
NA,additional-data section,climate reference network unique data,CB1-CB2,subhourly observed liquid precipitation section: secondary sensor,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates the presence of a liquid precipitation measurement made by a secondary precipitation sensor.,"A specific domain comprised of the characters in the ASCII character set. CB1, CB2 An indicator of the following items: PERIOD period quantity PRECIPITATION liquid depth PRECIP_QC quality code PRECIP_FLAG quality code","{""items"":""PERIOD period quantity PRECIPITATION liquid depth PRECIP_QC quality code PRECIP_FLAG quality code""}"
NA,additional-data section,climate reference network unique data,CB1-CB2,precipitation,period quantity,2,05,5,60,60,Minutes,NA,NA,99,99,The quantity of time for which the gauge depth was measured.,A specific domain comprised of the characters in the ASCII character set 99 = Missing,"{""99"":""Missing""}"
NA,additional-data section,climate reference network unique data,CB1-CB2,precipitation,liquid depth,6,-99999,-99999,+99998,99998,millimeters,10,10,99999,99999,The observed liquid precipitation measurement from the secondary precipitation sensor.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). +99999 = Missing.","{""99999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CB1-CB2,QC,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the liquid precipitation measurement from the secondary precipitation sensor.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CB1-CB2,precip_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the reported LIQUID-PRECIPITATION data. Most users will find the preceding quality code DEPTH_QC to be the simplest and most useful quality,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CF1-CF3,hourly fan speed section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates an hourly observation of the fan speed from an aspirated shield housing the temperature sensor. Three instances of this section appear in the last ISD record of the hour.,"A specific domain comprised of the characters in the ASCII character set. CF1,CF2,CF3 An indicator of the following items: FAN speed rate FAN _QC quality code FAN _FLAG quality code","{""items"":""FAN speed rate FAN _QC quality code FAN _FLAG quality code""}"
NA,additional-data section,climate reference network unique data,CF1-CF3,fan,the average fan speed for the hour,4,NA,NA,9998,9998,rotations per second,10,10,9999,9999,MIN: - 0000 MAX: 9998 UNITS: rotations per second SCALING FACTOR: 10,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CF1-CF3,fan_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the average fan speed for the hour.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CF1-CF3,fan_qc_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the average fan speed for the hour. Most users will find the preceding quality code FAN_QC to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CG1-CG3,subhourly observed liquid precipitation section: primary sensor,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates the presence of three concurrent precipitation depth observations made by co- located sensors on the primary precipitation gauge. Three instances of this section (corresponding to the three,"A specific domain comprised of the characters in the ASCII character set. CG1, CG2, CG3 Three indicators preceding three copies of the following items: DEPTH liquid depth DEPTH_QC quality code DEPTH_FLAG quality code","{""items"":""DEPTH liquid depth DEPTH_QC quality code DEPTH_FLAG quality code""}"
NA,additional-data section,climate reference network unique data,CG1-CG3,depth,liquid depth,6,-99999,-99999,+99998,99998,millimeters,10,10,99999,99999,The observed gauge depth.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). +99999 = Missing.","{""99999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CG1-CG3,depth_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the observed depth.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CG1-CG3,depth_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the observed depth. Most users will find the preceding quality code DEPTH_QC to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CH1-CH2,hourly/sub-hourly relative humidity/temperature section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates an observation of relative humidity and temperature measured at the relative humidity instrument. This section appears one or more times per hour.,"A specific domain comprised of the characters in the ASCII character set. CH1, CH2 An indicator of the following items: RELATIVE HUMIDITY/TEMPERATURE period quantity AVG_RH_TEMP average air temperature AVG_ RH_TEMP_QC quality code AVG_ RH_TEMP_FLAG quality code AVG_RH average relative humidity AVG_RH_QC quality code AVG_RH_FLAG quality code","{""items"":""RELATIVE HUMIDITY/TEMPERATURE period quantity AVG_RH_TEMP average air temperature AVG_ RH_TEMP_QC quality code AVG_ RH_TEMP_FLAG quality code AVG_RH average relative humidity AVG_RH_QC quality code AVG_RH_FLAG quality code""}"
NA,additional-data section,climate reference network unique data,CH1-CH2,relative humidity/temperature,period quantity in minutes,2,00,0,60,60,Minutes,1,1,99,99,The quantity of time over which the RELATIVE HUMIDITY/TEMPERATURE was measured.,A specific domain comprised of the characters in the ASCII character set 99 = Missing.,"{""99"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CH1-CH2,avg_rh_temp,average air temperature,5,-9999,-9999,+9998,9998,degrees Celsius,10,10,9999,9999,The average air temperature measured at the relative humidity instrument.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-) +9999 = Missing.","{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CH1-CH2,avg_rh_temp_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the average air temperature measured at the relative humidity instrument.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CH1-CH2,avg_rh_temp_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the average air temperature measured at the relative humidity instrument. Most users will find the preceding quality code,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks 37,"{""0"":""Passed all quality control checks other Did not pass all quality checks 37""}"
NA,additional-data section,climate reference network unique data,CH1-CH2,avg_rh,average relative humidity,4,0000,0,1000,1000,percent,10,10,9999,9999,The average relative humidity measured at the relative humidity instrument.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CH1-CH2,avg_rh_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the average relative humidity.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CH1-CH2,avg_rh_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the average relative humidity.,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CI1,hourly relative humidity/temperature section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates an hourly observation of relative humidity and temperature measured at the relative humidity instrument. This section appears in the last ISD record of the hour.,A specific domain comprised of the characters in the ASCII character set. CI1 An indicator of the following items: MIN_RH_TEMP hourly air temperature MIN_ RH_TEMP_QC quality code MIN_ RH_TEMP_FLAG quality code MAX_ RH_TEMP hourly air temperature MAX_ RH_TEMP_QC quality code MAX_ RH_TEMP_FLAG quality code STD_RH_TEMP hourly air temperature standard deviation STD_RH_TEMP_QC quality code STD_RH_TEMP_FLAG quality code STD_RH hourly relative humidity standard deviation STD_RH_QC quality code STD_RH_FLAG quality code,"{""items"":""MIN_RH_TEMP hourly air temperature MIN_ RH_TEMP_QC quality code MIN_ RH_TEMP_FLAG quality code MAX_ RH_TEMP hourly air temperature MAX_ RH_TEMP_QC quality code MAX_ RH_TEMP_FLAG quality code STD_RH_TEMP hourly air temperature standard deviation STD_RH_TEMP_QC quality code STD_RH_TEMP_FLAG quality code STD_RH hourly relative humidity standard deviation STD_RH_QC quality code STD_RH_FLAG quality code""}"
NA,additional-data section,climate reference network unique data,CI1,min_rh_temp,hourly air temperature,5,-9999,-9999,+9999,9999,degrees Celsius,10,10,9999,9999,The minimum air temperature measured at the relative humidity instrument.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-) +9999 = Missing.","{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CI1,min_rh_temp_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the minimum hourly air temperature measured at the relative humidity instrument.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 38 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks 38"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CI1,min_rh_temp_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the minimum hourly air temperature measured at the relative humidity instrument. Most users will find the preceding quality code,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CI1,max_rh_temp,hourly air temperature,5,-9999,-9999,+9998,9998,degrees Celsius,10,10,9999,9999,The maximum air temperature measured at the relative humidity instrument.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-) +9999 = Missing.","{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CI1,max_rh_temp_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the maximum hourly air temperature measured at the relative humidity instrument.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CI1,max_rh_temp_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the maximum hourly air temperature measured at the relative humidity instrument. Most users will find the preceding quality code,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CI1,std_rh_temp,hourly air temperature standard deviation,5,00000,0,99998,99998,NA,10,10,99999,99999,The standard deviation for the hourly air temperature measured at the relative humidity instrument.,A general domain comprised of the numeric characters (0-9). 99999 = Missing.,"{""99999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CI1,std_rh_temp_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the standard deviation for the air temperature measured at the relative humidity instrument.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CI1,std_rh_temp_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the standard deviation for the air temperature measured at the relative humidity instrument. Most users will find the preceding quality code,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks 39,"{""0"":""Passed all quality control checks other Did not pass all quality checks 39""}"
NA,additional-data section,climate reference network unique data,CI1,std_rh,hourly relative humidity standard deviation,5,00000,0,99998,99998,NA,10,10,99999,99999,The hourly relative humidity standard deviation.,A general domain comprised of the numeric characters (0-9). 99999 = Missing.,"{""99999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CI1,std_rh_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the hourly relative humidity standard deviation.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CI1,std_rh_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the hourly relative humidity standard deviation. Most users will find the preceding quality code STD_RH_QC to be the simplest and most useful,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN1,hourly battery voltage section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates an hourly observation of battery voltages. This section appears in the last ISD record of the hour.,A specific domain comprised of the characters in the ASCII character set. CN1 An indicator of the following items: BATVOL average voltage BATVOL_QC quality code BATVOL_FLAG quality code BATVOL_FL average voltage BATVOL_FL_QC quality code BATVOL_FL_FLAG quality code BATVOL_DL average voltage BATVOL_DL_QC quality code BATVOL_DL_FLAG quality code,"{""items"":""BATVOL average voltage BATVOL_QC quality code BATVOL_FLAG quality code BATVOL_FL average voltage BATVOL_FL_QC quality code BATVOL_FL_FLAG quality code BATVOL_DL average voltage BATVOL_DL_QC quality code BATVOL_DL_FLAG quality code""}"
NA,additional-data section,climate reference network unique data,CN1,batvol,average voltage,4,0000,0,9998,9998,volts,10,10,9999,9999,The hourly average voltage for the batteries powering the sensors and the transmitter.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CN1,batvol_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the hourly average station battery voltage.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN1,batvol_qc_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the hourly average station battery voltage.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN1,batvol_fl,average voltage,4,0000,0,9998,9998,volts,10,10,9999,9999,The voltage for the batteries powering the observing station while the station is transmitting (“full load”).,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CN1,batvol_fl_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the battery voltage under full load.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN1,batvol_fl_qc_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of battery voltage under full load. Most users will find the preceding quality code BATVOL_FL_QC to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN1,batvol_dl,average voltage,4,0000,0,9998,9998,volts,10,10,9999,9999,The voltage for the batteries powering the datalogger.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CN1,batvol_dl_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the datalogger battery voltage.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN1,batvol_dl_qc_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the datalogger battery voltage. Most users will find the preceding quality code BATVOL_DL_QC to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN2,hourly diagnostic section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates an hourly observation of miscellaneous diagnostic data. This section appears in the last ISD record of the hour,A specific domain comprised of the characters in the ASCII character set. CN2 An indicator of the following items: TPANEL equipment temperature TPANEL_QC quality code 41 TPANEL_FLAG quality code TINLET_MAX equipment temperature TINLET_MAX_QC quality code TINLET_MAX_FLAG quality code OPENDOOR_TM equipment status OPENDOOR_TM_QC quality code OPENDOOR_TM_FLAG quality code,"{""items"":""TPANEL equipment temperature TPANEL_QC quality code 41 TPANEL_FLAG quality code TINLET_MAX equipment temperature TINLET_MAX_QC quality code TINLET_MAX_FLAG quality code OPENDOOR_TM equipment status OPENDOOR_TM_QC quality code OPENDOOR_TM_FLAG quality code""}"
NA,additional-data section,climate reference network unique data,CN2,tpanel,equipment temperature,5,-9999,-9999,+9998,9998,degrees Celsius,10,10,9999,9999,The temperature of the datalogger panel.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). +9999 = Missing.","{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CN2,tpanel_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the datalogger panel temperature.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,climate reference network unique data,CN2,tpanel_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A flag that indicates the network’s internal evaluation of the quality status of the datalogger panel temperature. Most users will find the preceding quality code TPANEL_QC to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9) 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,climate reference network unique data,CN2,tinlet_max,equipment temperature,5,-9999,-9999,+9998,9998,degrees Celsius,10,10,9999,9999,The maximum temperature of the Geonor inlet for the hour.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). +9999 = Missing.","{""9999"":""Missing.""}"
NA,additional-data section,climate reference network unique data,CN2,tinlet_max_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the maximum temperature of the Geonor inlet for the hour.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
